Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,15.65117489,17.0727448,17.58605028,16.41917563,17.52280797,18.2292016,19.59560838,21.03975755,20.83611762,22.67734584,23.24735122,24.03179427,29.47220241,26.90093352,26.75653763,31.79336226,32.81091004,31.20787285,34.09803929,37.33867516,39.43957843,37.35339486,38.71585152,41.89292896,..
United States,USA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,6.908685071,5.555263786,7.201835542,7.489996972,7.135431737,6.937598268,7.386688759,6.334599357,6.455543751,7.124992389,6.539627218,7.921920476,6.952007383,6.736832474,6.486242766,6.280264405,6.758686527,7.584730223,7.114990715,7.071652367,7.234950445,6.265515435,6.207878866,6.039003813,..
United States,USA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,19.68377861,20.50558985,19.85917475,19.3009199,19.4818456,18.87881989,18.97761154,19.23366854,19.17934849,19.82252583,19.16054385,18.88520491,18.67146313,19.08809065,19.13624434,19.23227752,19.43337842,19.57016425,18.88317153,19.20255205,19.32255144,18.55111099,17.87769099,18.14863385,..
United States,USA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,71.12032644,71.70429153,70.55419242,70.81577965,70.92785955,71.67701976,70.89771721,71.53794817,70.97900057,69.07195548,69.89146795,68.05876955,68.54544522,67.52135383,67.13221059,66.76622288,64.94373719,62.79200304,63.61426194,62.50664882,60.40603346,60.84507744,59.97802627,59.30036772,..
United States,USA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,52.54559528,51.27975605,50.34817532,51.03984454,50.07346361,50.15769492,49.47406676,48.70189508,48.82025135,45.19015858,45.54586918,43.1182654,38.30249892,39.76452563,39.45692661,34.07326439,31.32860007,30.82799944,28.55274835,24.35303842,20.08829488,22.66590714,20.31649022,16.66388548,..
United States,USA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2.923556266,3.351790686,2.619966824,3.356759479,3.331587964,3.29012325,1.828042069,1.796295543,1.322631592,1.204451061,1.098247545,0.90870988,0.770743895,0.855894673,0.918746347,0.899596239,0.80422708,0.756130746,0.963474298,0.814935242,0.87816015,0.82577544,0.945684536,0.743553285,..
United States,USA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1.903931411,1.867225553,2.001989573,2.004623491,2.080766379,2.183324764,2.402791461,2.579312669,3.074656024,3.6556385,4.074771094,4.764473223,5.460954725,6.291747738,6.893051308,7.352543884,8.500758438,9.700691811,10.04789563,10.86662135,12.68174828,14.00779349,..,..,..
United States,USA,Rural population (% of total population),SP.RUR.TOTL.ZS,20.92591021,20.69137763,20.45389602,20.22266497,20.0039063,19.80384183,19.62869336,19.48468271,19.37803171,19.31496216,19.30022553,19.30424457,19.31625066,19.33911072,19.37577682,19.42920105,19.50233547,19.59813216,19.7195432,19.86952066,20.00254824,19.99252349,19.96750218,19.92843888,19.8752202
United States,USA,Rural population,SP.RUR.TOTL,59045053,58964003,58830558,58667555,58572497,58523640,58568078,58693945,58927425,59252805,59710696,60198252,60718528,61252046,61858632,62526107,63256476,64009187,64784532,65614368,66323993,66395123,66694916,67120224,67597808
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.07408979,79.30862237,79.54610398,79.77733503,79.9960937,80.19615817,80.37130664,80.51531729,80.62196829,80.68503784,80.69977447,80.69575543,80.68374934,80.66088928,80.62422318,80.57079895,80.49766453,80.40186784,80.2804568,80.13047934,79.99745176,80.00747651,80.03249782,80.07156112,80.1247798
